company,proposal_name,current_state,problems,impact,target_persona,existing_tooling,functionality,problem_solving,risk_assessment,business_use_case,architecture_pattern,reasoning_pattern,execution_pattern,knowledge_representation,input_modalities,tool_integration,human_oversight,architecture_confidence,data_complexity,integration_complexity,prompt_complexity,chain_depth,schema_complexity,state_management,error_handling,evaluation_complexity,domain_expertise,latency_requirements,regulatory_requirements,rerepresentation_type
lockheed_martin,AUTO-MX – AUTONOMOUS FLEET FAULT NARRATIVE & MAINTENANCE WORK-PACKAGE GENERATOR,"• Combined Lockheed-built fleets (F-35, F-22, C-130, UH-60, CH-53K, Aegis, THAAD, PAC-3) fly ≈1.3 million operational hours/year, producing ≈42 million fault records (ACARS, HUMS, BIT, post-flight debrief) plus 9 million pilot squawks.  • Maintainers must convert each fault into a narrative, link to task cards, and build a maintenance work-package (MWP). Only 35 % of this text-heavy workload is currently automated.",• Average 2.8 h lag between fault detection and MWP issuance.  • Inconsistent narratives reduce diagnostic accuracy and cause repeat/recurrence (>8 %).  • Language differences across allied forces require manual translation.,"Automating 75 % of 51 million yearly fault narratives shortens turnaround time by 2 h, returning 97,000 aircraft-days to operational availability (estimated customer value US$1.1 B). Labor reduction ≈US$60 M.","Squadron Maintenance Control Chief, Depot Planner, Field Service Rep (FSR).","ALIS/ODIN, Sikorsky MATRIX HUMS, Army GCSS-A, Navy NALCOMIS, stand-alone work-package generators.",1. Ingest raw fault data stream; group correlated faults; auto-generate concise human-readable squawk narrative in operator language.  2. Retrieve procedural task cards & parts list; assemble MWP; push to maintenance MIS.  3. Provide confidence score; low scores alert FSR.,"Transforms high-volume language conversion between machines and humans, enabling near-real-time maintenance planning and higher fleet availability.",• Safety – Dual verification on CAT 1 flight-safety critical faults.  • Data Classification – On-prem inference inside classified enclaves; telemetry stays within boundary.,Technical Support & Troubleshooting,Planning Agent,Planning/Decomposition,Sequential Chain,"Structured Database, Document Store","Sensor/Telemetry, Structured Data, Text Only",Multi-System Integration,Human Escalation,high,Streaming/Real-time,Write/Action (1-3 systems),Dynamic Prompt Assembly,Sequential (4-7 steps),Hybrid (Structured + Unstructured),Session State (Short-term),Human Escalation Required,Delayed/Indirect Feedback,Specialist Knowledge,Near Real-time (minutes),Full Auditability,"Linear Flow Diagram, Decision Tree"
lowes,PRO PROJECT AUTOQUOTE & FULFILLMENT ENGINE,"• 2.9 MM Pro RFQs per year generate manual Excel take-offs totalling 310 MM linear ft of lumber, drywall, flooring and pipe.
• Turn-around averages 2-5 days; human error generates 6-8 % cost leakage; quote-to-close ratio is only 42  %.
• Margin guardrails, tiered discount tables, and regional fulfilment constraints already reside in SAP/Pro CRM but are referenced manually.","1. Slow cycles lose bids to Home Depot/SRS.
2. Quote inaccuracies erode margin and trust.
3. Associates spend 1.4 MM labour-hours/year on low-value data entry instead of selling.","• 50 % adoption drives +$1.05 B incremental annual Pro revenue (bid-win uplift) and −$110 M labour cost.
• 1.5 pt gross-margin accretion through error reduction and automatic upsell of attachment items (fasteners, adhesives).","• Outside contractor (GC, remodeler) requesting priced material list.
• Inside Pro Desk associate accountable for responsive quoting.",• Extended-Aisle API exposes real-time inventory & price; SAP margin tables; Mirakl catalog; Carbon micro-service mesh.,"1. Drag-and-drop plans/photos → instant natural-language dialog: “2,400 sq ft floor replace—confirm plank orientation?”
2. LLM vision-plus-text pipeline extracts dimensions, builds BOM, calls price/availability APIs, applies guardrails, and produces PDF + e-sign link.
3. Upon acceptance: auto-reserves inventory, schedules deliveries, and posts SO in SAP.",• Removes turnaround bottleneck; quotes are policy-locked; human touches limited to outlier review (> $250 K or confidence < 90 %).,"• Mis-take-offs - mitigated by vision confidence scoring + forced human audit threshold.
• Price leakage – all discount rules stored as immutable tokens in prompt context; on-quote margin audit before release.",Document Generation & Translation,Tool-Using Agent,Chain-of-Thought (CoT),Sequential Chain,"Hybrid Vector+DB, Policy Rules",Text + Images,Multi-System Integration,Human Escalation,high,"Multimodal, Simple",Write/Action (4+ systems),Dynamic Prompt Assembly,Sequential (4-7 steps),Deep Structured (4+ levels),Session State (Short-term),Graceful Degradation,Ground Truth Available (Similarity),Professional Knowledge,Interactive (<5 seconds),Basic Audit Trail,"Linear Flow Diagram, Entity-Relationship Diagram"
lowes,MARKETPLACE SELLER ONBOARDING & CATALOG QUALITY-CONTROL AGENT,"• Lowe’s Mirakl marketplace will scale from 1.2 MM to 9 MM SKUs by FY-26.
• Current onboarding = 11-day cycle: legal vetting, attribute mapping, image ALT-text, compliance flags (haz-mat, Prop 65).
• 87 content-ops FTEs manually QA listings; error reject rate 14 %.","1. Bottleneck throttles assortment expansion; sellers churn.
2. Inconsistent taxonomy mapping degrades search / recommendation relevance.
3. Manual compliance checks risk omissions and fines.","• Cutting SLA to 48 h unlocks ≈$370 M incremental GMV (assortment elasticity model).
• Automation removes 200 FTE ($18 M) and reduces compliance rejects by 90 %.",• Third-party seller onboarding manager; Category merchant.,"• Mirakl APIs, internal PIM (product information mgmt.), legal policy spreadsheets.","1. Ingest seller flat-files, spec sheets, SDS PDFs via portal.
2. LLM auto-classifies category, normalises attributes, writes SEO-optimised title/bullets, generates compliant image ALT-text.
3. Runs rule-chain: restricted keywords, country-of-origin, battery/chemical flags, auto-creates Prop 65 notice, routes exceptions.
4. Pushes clean JSON to Mirakl; emails seller diff-report.","• Language understanding needed to harmonise thousands of attribute synonyms (e.g., “OD” vs “Outer Diameter”).
• Policy embodiment ensures no human eye needed unless red-flag.","• Erroneous compliance clearance – mitigated by secondary model voting + nightly scrape of CPSC recall list.
• Taxonomy drift – weekly re-embedding of master PIM ontology.",Supplier & Vendor Compliance,Sequential Pipeline,Planning/Decomposition,Conditional Branching,"Policy Rules, Structured Database","Text Only, Structured Data",Write/Action APIs,Human Escalation,high,"Multimodal, Simple",Write/Action (1-3 systems),Many Static Prompts (6+),Branching (2-5 paths),Nested Structured (2-3 levels),Session State (Short-term),Human Escalation Required,Human Evaluation Required (Simple),Professional Knowledge,Batch/Async (hours-days),Full Auditability,"Decision Tree, Linear Flow Diagram"
lowes,RETURNS & WARRANTY CLAIMS RESOLVER,"• 86 MM customer service contacts/yr; 34 MM relate to returns/warranties.
• 65 % follow rigid, codified policies (e.g., ≤90 days, undamaged, certain tender types).
• Average handle time (AHT) 6.2 min; $4.75/contact; high IVR abandon rates.","1. Agents reading scripted eligibility flow – low value.
2. Long cycle increases customer frustration and store queue congestion.
3. Fraudulent returns slip through manual checks (3 bp shrink).","• 70 % automation → $112 M annual op-ex savings; estimated 0.5 pt improvement in DIY NPS leading to +$150 M retention revenue.
• Predictive fraud gating saves ~$12 M shrink.",• DIY customer with product issue; Contact-centre agent; Service desk associate.,• NICE inContact telephony; ServiceNow CRM; POS returns module; basic FAQ bot.,"1. Multi-modal assistant (voice, chat, SMS) authenticates via order # / loyalty ID.
2. LLM navigates policy tree, requests photos when required, renders decision, issues QR code or schedules pickup.
3. Contacts warranty OEM API for exchange, tracks shipment, and updates CRM ticket automatically.","• Language complexity (symptom narratives, part numbers) resolved via semantic parsing; assistant enforces policy consistently.","• False approvals – guardrails: policy engine as final arbiter; high-value claims escalate.
• Privacy – PCI/PII masked, no retention of card data.",Warranty & Returns Processing,Tool-Using Agent,Planning/Decomposition,Conditional Branching,"Policy Rules, Structured Database","Text + Images, Text + Audio",Multi-System Integration,Fully Autonomous,high,"Multimodal, Simple",Write/Action (4+ systems),Dynamic Prompt Assembly,Branching (2-5 paths),Simple Structured (flat JSON),Session State (Short-term),Graceful Degradation,Ground Truth Available (Exact Match),Professional Knowledge,Interactive (<5 seconds),Full Auditability,Decision Tree
lowes,PRODUCT KNOWLEDGE & SPECIFICATIONS CONVERSATIONAL ENGINE,"• 16 MM store transactions per week generate ≈2 MM product-spec questions/week across web chat, Mylow assistant, in-store scanners, and IVR.
• Associates rely on 3,800 vendor manuals and 9.2 MM PDF pages; customers escalate when search fails ⇒ 24 MM additional live contacts/year.
• Manual response leads to inconsistent answers and lost sales (online conversion gap vs. Amazon).","1. Manuals/specs are unstructured and hard to search.
2. Associates cannot memorise dimensional, compatibility, or regulatory details.
3. Redundant Q&A volume burdens contact centres (~$70 M cost).","• 80 % automation of product-spec questions saves $56 M/year labour and raises digital conversion by conservative 60 bps (~$94 M incremental e-commerce revenue).
• Consistent answers reduce returns (size mismatch, incompatible parts) by forecast 4  % = $35 M shrink avoided.",• DIY shopper on mobile or in aisle; New store associate using Zebra device.,• “Mylow” Gen-AI (general DIY advice); product PIM; manual PDF repository in GCP storage.,"1. Bulk-ingest all manuals, SDS, install instructions; auto-chunk + embed.
2. Conversational front-end (web, app, handheld) allows natural questions: “Is this 40-V Kobalt battery compatible with my 2022 mower?”
3. LLM retrieves spec snippets, applies policy filters (e.g., safety disclaimers), and generates deterministic response with citation links.
4. “Buy-with-one-tap” or “Locate in Aisle 23 Bay 4” action buttons.","• Requires deep language understanding of technical jargon, synonyms, units, and compatibility matrices not feasible with rule-based search.","• Incorrect safety guidance – system forces citation display; high-risk categories (electrical, gas) have mandatory human confirmation.
• Vendor IP – storage under license; output limited to fair-use excerpts.",Knowledge Base Q&A,Basic RAG,Direct/None,Single-Shot,"Vector Embeddings, Document Store",Text Only,Read-Only APIs,Fully Autonomous,high,"Multiple Sources, Structured",Read-Only (4+ systems),Dynamic Prompt Assembly,Sequential (2-3 steps),Hybrid (Structured + Unstructured),Stateless,Graceful Degradation,Ground Truth Available (Similarity),Professional Knowledge,Interactive (<5 seconds),Basic Audit Trail,Linear Flow Diagram
lowes,VENDOR COMPLIANCE DOCUMENT INGESTION & DISCREPANCY RESOLUTION AGENT,"• 18,400 vendors send 11.6 MM docs/yr (packing lists, certificates of insurance, factory audits, customs forms).
• AP/Compliance manually reconciles against 4.8 MM POs; mismatch queue backlog averages 42 K items.
• Penalty-fee recovery for late/incorrect ASN under-captured (collection rate 37  %).","1. High-volume, language-dense documents processed by 350 analysts across US, India, Philippines.
2. Manual review delays vendor payment (NPS impact) and obstructs inbound flow.
3. Compliance gaps risk fines (C-TPAT, FCC, EPA).","• 85 % straight-through processing saves 290 FTE = $24 M op-ex.
• Automated penalty capture adds $18 M recoveries; faster GR/IR matching reduces Days-Payable-Outstanding by 3 days, improving supplier goodwill.",• Lowe’s vendor compliance analyst; Accounts-Payable processor; Supplier CSR.,• OCR + EDI gateway; SAP Ariba; SharePoint folder jungle.,"1. LLM parses PDFs/EDI text into structured objects, aligns line-items to PO, flags quantity/price/HTS code discrepancies.
2. Applies policy matrix (e.g., carton-dimension tolerance, on-time ASN).
3. Generates auto-credit memo or dispute notice in supplier portal; posts validated invoices directly to SAP for payment.
4. Real-time dashboard shows discrepancy reasons and regulatory flag trends.","• Natural-language variation across 70+ document types requires semantic understanding, beyond regex or schema validation.","• False dispute noise – risk mitigated via confidence threshold; low-confidence cases routed to analyst.
• Data privacy – vendor docs stored in secure bucket with role-based access; PII redacted.",Supplier & Vendor Compliance,Tool-Using Agent,Planning/Decomposition,Conditional Branching,"Policy Rules, Structured Database","Text Only, Structured Data",Write/Action APIs,Human Escalation,high,"Multiple Sources, Structured",Write/Action (4+ systems),Dynamic Prompt Assembly,Sequential (4-7 steps),Deep Structured (4+ levels),Complex State Machine,Compensation/Rollback,Multi-Dimensional Scoring,Professional Knowledge,Near Real-time (minutes),Highly Regulated (HIPAA/SOX/etc.),"Linear Flow Diagram, State Machine"
lululemon,GUEST SERVICE AUTOPILOT,"Lululemon’s Guest Education Centre (GEC) handles ≈ 120 million contacts per year via email, chat, social DM and voice.  70 % of traffic maps to deterministic policies (order-status, returns, membership, payment updates). Agents work in Zendesk; AHT is 318 seconds; re-contact rate 28 %.","1. Labour cost and turnover rising 17 % YoY.  
2. Policy misapplication generates ≈ $24 million in excess goodwill refunds.  
3. Peak events (Cyber Monday, Chinese 11-11) trigger 10× queue spikes → NPS drops from 80 → 64.","• Direct cost reduction: $82 million per year from 50 % tier-1 automation.  
• Revenue lift: +3 NPS points modelled to $140 million incremental sales.  
• Compliance benefit: fully auditable decisions.",Director of GEC Operations; Workforce Planning Manager; Global CX Executive.,"Zendesk Suite, Salesforce Service Cloud analytics, Oracle OMS, AgilOne CDP, iD Cloud inventory API, bilingual KB PDFs.","Multilingual conversational agent that authenticates guest, retrieves order, applies policy logic, executes OMS or membership actions, logs interaction.  Handles e-mail and chat channels initially.",Transfers deterministic workload from humans to the LLM agent while enforcing 100 % policy alignment through tool-calling and guard-rails.,"Over-refunds, PII leakage.  Mitigations: retrieval-augmented generation (RAG) constrained to policy corpus, token-level masking, approval thresholds on high-value orders.",Customer Service Automation,Tool-Using Agent,Planning/Decomposition,Conditional Branching,"Policy Rules, Structured Database",Text Only,Multi-System Integration,Fully Autonomous,high,"Multiple Sources, Structured",Write/Action (1-3 systems),Dynamic Prompt Assembly,Sequential (4-7 steps),Nested Structured (2-3 levels),Session State (Short-term),Graceful Degradation,Multi-Dimensional Scoring,Professional Knowledge,Interactive (<5 seconds),Full Auditability,Decision Tree
lululemon,RETURNS & DEFECT TRIAGE ENGINE,12 % of e-commerce orders (≈ 14 million units/yr) are returned through Happy Returns portal. Shoppers supply free-text reasons & photos; agents manually code and approve refunds.  QA team gets monthly CSVs → slow defect discovery.,"• Manual processing cost $2.40/return.  
• Mis-categorised reasons obscure defect hotspots → late pullbacks (e.g., Breezethrough).  
• Fraudulent “worn” returns leak $9 million.","• Handling cost reduced to $0.60 (-$28 million).  
• 4-week earlier defect detection cuts write-offs $11 million.  
• Fraud scoring saves $6 million.",Reverse-Logistics Manager; Director of Quality Engineering.,"Happy Returns, Zendesk workflow, Snowflake “returns” table, PLM defect tags.","Multimodal LLM classifies text + image into standardized reason taxonomy, applies policy to approve/deny/refund, generates prepaid label, surfaces anomaly clusters to QA dash.",Replaces agent decision for ≥ 80 % of returns and provides real-time defect intelligence.,False denials; mitigate with confidence thresholds and instant human review path.,Warranty & Returns Processing,Tool-Using Agent,Chain-of-Thought (CoT),Sequential Chain,"Policy Rules, Structured Database",Text + Images,Write/Action APIs,Human Escalation,high,"Multimodal, Simple",Write/Action (1-3 systems),Few Static Prompts (2-5),Sequential (2-3 steps),Simple Structured (flat JSON),Stateless,Graceful Degradation,Proxy Metrics,Professional Knowledge,Interactive (<5 seconds),Basic Audit Trail,Linear Flow Diagram
lululemon,FIT & SIZE RECOMMENDATION CHAT,"Guests submit ≈ 11 million size/fit inquiries annually across chat, e-mail and PDP comments. 32 % of returns cite wrong size. Current quiz is rule-based, ignores nuanced natural-language cues.","• High return freight + handling costs ($52 million).  
• Low online conversion for first-time male shoppers (brand awareness 13 %).","• 5 % reduction in size-related returns → $52 million savings.  
• Expected +0.3 pt conversion lift → $45 million revenue.",E-commerce Product Manager; Digital CX Lead; New Guest.,"Static size tables, basic fit-finder quiz, RFID-based inventory feed.","Conversational LLM collects height/weight/body-shape, preferred fit & activity, then references size tables, garment stretch factors and community review embeddings to output personalised size + alternative style suggestions.",Fully automates fit guidance at scale with data-backed reasoning.,"Incorrect advice.  Confidence gating, post-purchase outcome feedback, legal disclaimer.",Customer Service Automation,Agentic RAG,Chain-of-Thought (CoT),Sequential Chain,"Vector Embeddings, Structured Database",Text Only,Read-Only APIs,Fully Autonomous,high,"Multiple Sources, Structured",Read-Only (1-3 systems),Dynamic Prompt Assembly,Sequential (2-3 steps),Nested Structured (2-3 levels),Session State (Short-term),Best Effort,Delayed/Indirect Feedback,Professional Knowledge,Interactive (<5 seconds),No Special Requirements,Linear Flow Diagram
lululemon,UGC REVIEW MODERATION & INSIGHTS HUB,"• Website hosts 42 million product reviews & Q/As; growing ~6 million/year.  
• Moderation team (24 FTE) manually approves, redacts PII, removes policy-violating content (offensive language, medical claims).  
• Insights team samples 1 % for sentiment & feature requests.","1. Manual moderation delays (median 36 hours) suppress UGC volume and SEO freshness.  
2. Policy inconsistency exposes legal risk (FDA-style health claims on recovery footwear).  
3. Lost product feedback loop — only 1 % mined for innovation teams.","• Automating 95 % moderation saves $7 million/year.  
• Instant publish adds estimated $18 million incremental SEO & conversion uplift.  
• Structured feature-request mining accelerates “Science of Feel” pipeline; modelled 2-month faster launch worth $12 million.",Digital Community Manager; Product R&D Voice-of-Guest Lead.,"Bazaarvoice review platform, Snowflake UGC tables, Tableau sentiment dashboards.","A) Real-time moderation: LLM classifies each submission for policy compliance, redacts PII, auto-publishes or flags.  
B) Insight extractor: Clusters feedback, maps to product attributes, auto-generates weekly “innovation pulse” report.",Not specified,"– False negatives could allow harmful content.  Use multi-model ensemble + deterministic regex for banned terms.  
– Insight hallucination; attach citation snippets.",Product Policy Enforcement,Sequential Pipeline,Direct/None,Conditional Branching,"Policy Rules, Vector Embeddings",Text Only,Write/Action APIs,Human Escalation,high,"Single Source, Structured",Write/Action (1-3 systems),Few Static Prompts (2-5),Branching (2-5 paths),Nested Structured (2-3 levels),Stateless,Human Escalation Required,Human Evaluation Required (Simple),Professional Knowledge,Near Real-time (minutes),PII/Sensitive Data,Decision Tree
lululemon,PAYMENT DISPUTE & CHARGEBACK AUTOPILOT,"Lululemon processes ≈ 105 million card transactions/year.   0.6 % become bank chargebacks or PayPal disputes (≈ 630 K cases).  Fraud/Ops team (55 FTE) crafts evidence packets (order details, policy excerpts, shipping proof) and responds on issuer portals.  Win-rate 52 %; each lost case costs item + fees.","• Manual evidence compilation avg. 11 minutes/case.  
• Policy mismatch lowers representment win-rate.  
• Response SLA breaches trigger higher interchange fees.","• Automating 85 % evidence packets saves 93 K labour-hours (~$8 million).  
• Raising win-rate to 70 % saves merchandise & fees worth $24 million annually.  
• Reduced SLA fines $3 million.","Senior Manager, Payments & Fraud; Treasury Controller.","Adyen platform, Midigator console, Oracle OMS, Snowflake transaction lakehouse.","For each dispute webhook, LLM gathers order/fulfilment data, selects relevant policy clauses (return window, digital receipt, signature proof), drafts issuer-specific rebuttal, uploads via API/Robotic browser, tracks outcome.","Fully automates standardized evidence generation & submission for “Item Not Received”, “Cancelled Recurring”, “Not as Described” codes which make up 80 % volume.","Erroneous data could worsen win-rate.  Strict API validations, human approval for high-ticket >$500.",Fraud Detection & Prevention,Tool-Using Agent,Planning/Decomposition,Sequential Chain,"Policy Rules, Structured Database","Text Only, Structured Data",Multi-System Integration,Fully Autonomous,high,"Multiple Sources, Structured",Write/Action (4+ systems),Dynamic Prompt Assembly,Sequential (4-7 steps),Hybrid (Structured + Unstructured),User State (Long-term),Retry with Backoff,Proxy Metrics,Professional Knowledge,Near Real-time (minutes),Full Auditability,Linear Flow Diagram
marathon_petroleum,E-COMPLY 360,"Marathon operates 13 refineries, 80+ terminals, and >12 000 miles of pipelines. Each asset produces:
• ~4 000 permit conditions × 1-minute historian checks → 2.6 B data-checks/year.
• 1 800 unique environmental report templates (federal, 16 states, CARB, EPA CDX, EU REACH for exports).
• 9 000 supporting narratives (deviation explanations, control-technology justifications, ESG disclosure text).
Compliance engineers export PI data, merge spreadsheets, read 2 400-page permits, draft Word/PDFs, and manually type into 37 different regulator portals. 320 FTEs company-wide.","1. Manual extraction / interpretation from natural-language permit clauses to numeric limits – error-prone.
2. Lag (30–60 days) between emission event and report → late fees & reputation risk.
3. Fragmented evidence trail complicates ESG assurance and credit monetisation (LCFS, 45Q, CORSIA).","• Eliminates ≈220 FTEs ($28 M) and $35 M average annual fines/NOVs.
• Unlocks $40 M/yr in earlier credit sales by reducing filing latency from weeks to real-time.","Corporate Vice-President Environmental, Refinery Environmental Managers, ESG Reporting Director.","OSI-PI & IP.21 historians, AspenTech APC, Sphera OpsInfo, Excel macros, EPA CDX web forms, CARB CEDARS, SAP EHS.",a. Continuously ingests live sensor and lab data; b. Maps each datapoint to permit conditions; c. Evaluates compliance every minute; d. Generates and files required electronic submissions and narratives; e. Maintains immutable audit ledger; f. Pushes executive ESG dashboard.,"Transforms a document-centric, manual workflow into a streaming, machine-driven pipeline with zero human touch until an exception breaches risk thresholds.","• Wrong filing ⇒ legal exposure → dual staging tier: “Draft/Preview” for 90 days, auto-submit when variance <1 %.
• Data-gap detection with automatic “data-invalid” flag rather than erroneous filing.
• SOC-2 + ISA-62443 segmentation; no plant-control writes.",Regulatory Compliance Automation,Workflow Orchestration,Direct/None,Event-Driven,"Structured Database, Policy Rules","Sensor/Telemetry, Structured Data",Multi-System Integration,Human Escalation,high,Streaming/Real-time,Write/Action (4+ systems),Dynamic Prompt Assembly,Sequential (4-7 steps),Deep Structured (4+ levels),Event Sourcing,Mission Critical,Ground Truth Available (Exact Match),Specialist Knowledge,Near Real-time (minutes),Highly Regulated (HIPAA/SOX/etc.),"Process + Data Model (Combined), State Machine"
marathon_petroleum,CLAUSEWORKS,"Across crude/feedstock, product sales, storage, vessel charters and services, MPC produces ≈55 000 contracts/year. Average contract contains 160 clauses → ≈8.8 M clause-level interactions annually (LLM reasoning grain). 80 % are red-lined iterations exchanged via email; legal team of 75 attorneys + 110 contract analysts spend 70 % of their time on boiler-plate. Critical risks: sanctions, Incoterms, demurrage caps, environmental indemnities.","1. Cycle time (median 3 days) limits trading desk agility (missed arbitrage).
2. Humans must reconcile every counter-party change line-by-line.
3. Knowledge in lawyers’ heads; inconsistent risk posture.","• Reduce median cycle to 30 minutes → modelled $72 M extra margin/yr through faster deal capture.
• Free 60 attorney FTEs ($18 M).
• Cut post-deal claims by 40 % ($8 M).","Chief Commercial Officer, General Counsel, Traders/Marketers.","ION Endur (ETRM), MS Word track-changes, DocuSign, Dow-Jones sanctions API.",• Converts deal ticket into first-draft using clause library; • Conducts AI-to-human chat with counterparty portal; • Applies MPC policy engine to accept/reject edits; • Auto-escalates only “material risk deltas” (>RiskScore 7); • Executes DocuSign; • Pushes metadata to Endur & SAP; • Stores signed PDF + clause JSON in contract repository.,Full automation for ≥92 % of contracts that stay within guard-rail; remaining 8 % follow exception workflow.,"• Adverse legal exposure mitigated via: immutable approved clause library; dynamic sanction/credit checks pre-signature; human gate on risk-score outliers.
• Secure enclave for sensitive drafts; red-team LLM jailbreak testing.",Policy & Contract Analysis,ReAct Agent,Planning/Decomposition,Conditional Branching,"Document Store, Policy Rules","Text Only, Structured Data",Multi-System Integration,Human Escalation,high,"Multiple Sources, Structured",Write/Action (4+ systems),Dynamic Prompt Assembly,Cyclic/Iterative,Deep Structured (4+ levels),Complex State Machine,Human Escalation Required,Human Evaluation Required (Complex),Specialist Knowledge,Batch/Async (hours-days),Highly Regulated (HIPAA/SOX/etc.),"State Machine, Decision Tree"
marathon_petroleum,PORTAL-DOC GENIE,"MPC ships ~370 kbpd refined products and crude on 2 300 voyages/year. Each voyage demands ≈40 documents (BoL, COO, MSDS, SOLAS load plans, LCFS attestations, phytosanitary, destination-specific customs manifests). That is ~92 000 documents → but interaction grain is page/field: average 25 fields each: 2.3 M auto-fillable interactions/year ─ clear million-scale. Terminal operators currently copy data from SAP SD, LIMS, and tank gauging into Word/PDF templates and lodge via 14 portals (ACE, IceGate, EU-ICS2). Demurrage at $15 k/day accumulates when papers are late/inaccurate.","1. 20 % of sailings suffer doc-related delay (>4 hours).
2. Manual re-keying causes inconsistent cargo descriptions triggering customs holds.
3. Knowledge of 60 destination-country rules resides in few specialists.","• Demurrage savings $24 M/yr, staff cost $6 M, faster cash collection (CIF terms) improving working capital $40 M.","Marine Scheduling Manager, Terminal Operations, Global Trade Compliance Officer.","SAP SD/GTS, SGS Q-portal for lab COA, Vopak ISPS forms, INTTRA, MS Outlook.","• Real-time API pulls quantity & quality data post-shore tank measurement; • Composes full doc-set per destination rulepack; • Electronically lodges via trade portals; • Provides QR-code digital package for ship master & customs; • Tracks acknowledgments, alerts on exceptions.","Removes humans from generation, validation, submission for 95 % of voyages; humans only resolve portal outages or ambiguous customs queries.","• Customs fines/seizure → system cross-validates against latest HS codes and destination regulation knowledge-base updated nightly; dual control on any manual override.
• Cybersecurity: isolated staging of customs submissions; encryption at rest/in-transit.",Trade & Customs Documentation,Sequential Pipeline,Direct/None,Sequential Chain,"Structured Database, Policy Rules",Structured Data,Multi-System Integration,Human Escalation,high,"Multiple Sources, Structured",Write/Action (4+ systems),Dynamic Prompt Assembly,Sequential (4-7 steps),Nested Structured (2-3 levels),Session State (Short-term),Human Escalation Required,Ground Truth Available (Exact Match),Specialist Knowledge,Interactive (<5 seconds),Highly Regulated (HIPAA/SOX/etc.),"Linear Flow Diagram, Entity-Relationship Diagram"
marathon_petroleum,HYPERSCALE AP,"AP processes 500 000 invoices/yr, each with mean 45 line items → 22.5 M item-level interactions. 60 % include unstructured service tickets or field notes. 5 % mismatch rate produces $60 M held payables and 16 000 vendor email threads/month. Current OpenText OCR + SAP three-way match fails on complex service descriptions.","1. Manual clerical reconciliation (120 AP clerks).
2. Missed early-pay discounts (> $12 M/yr).
3. Strained supplier relationships → escalations.",• Automate 95 % line-item matches; release 100 clerks ($9 M); capture $12 M discounts; reduce blocked invoices reserve on balance sheet ≈$40 M.,"Controller, Shared Services AP Manager, Category Managers.","SAP S/4 HANA, OpenText VIM, ServiceMax field ticket PDFs, Outlook.","• Ingest invoices via email/EDI; • LLM parses description to structured schema, maps to PO line or service entry; • Executes auto-match or initiates structured chat with vendor bot to cure discrepancy (qty, rate, tax); • Posts to SAP when tolerance met; • Escalates unresolved after T+2 days to buyer.","Language reasoning on unstructured line descriptions (e.g., “3-inch 300# RF gate valve w/ install labor”) is beyond classical ML pattern match; requires semantic understanding & corporate taxonomy.","• Incorrect posting → financial mis-statement → system applies dual threshold (value & risk score) for automatic journal entry; sampling audit feed.
• Vendor impersonation mitigated via domain-verified communication channel.",Invoice & Financial Reconciliation,Tool-Using Agent,Chain-of-Thought (CoT),Conditional Branching,"Structured Database, Document Store","Text Only, Structured Data",Multi-System Integration,Human Escalation,high,"Multimodal, Simple",Bidirectional with Compensation,Dynamic Prompt Assembly,Cyclic/Iterative,Hybrid (Structured + Unstructured),Complex State Machine,Human Escalation Required,Ground Truth Available (Similarity),Professional Knowledge,Near Real-time (minutes),Full Auditability,"State Machine, Decision Tree"
marathon_petroleum,TAR-FACTORY,"• Major turnarounds: each core refinery every 4 years; minor outages & daily corrective jobs continue year-round.
• Across 13 refineries, ~2.6 M work packages/year (not just TAR) when counting daily maintenance, capital projects, and TAR. Package = 20-step procedure → 52 M step-level interactions where LLM drafts instructions, JSA, isolation maps.
• 350 planners/ schedulers spend 65 % time assembling docs from OEM manuals, MPC standards, OSHA regs.",1. Resource-intensive manual drafting; 2. Inconsistent package quality → rework and schedule slip; 3. HSE exposure from missing steps.,"• 70 % planner utilisation saved ($34 M/yr).
• 2-day average TAR duration reduction across system yields ≈$120 M incremental throughput margin every cycle (NPV-adjusted ≈$30 M/yr).
• 15 % fewer safety near-misses.","Turnaround Manager, Maintenance Planning Superintendent, Safety Engineer.","SAP PM, AVEVA IntelliPID, Primavera P6, SharePoint libraries.","• Intake equipment list & scope from SAP; • LLM retrieves OEM manuals, standards; • Auto-compiles full digital work package: task steps, craft hours, tools, torque values, JSA, isolation list, QA forms; • Publishes to SAP & P6; • Receives execution feedback via mobile app for close-out and lessons-learned ingestion.","Moves from episodic, manual authoring to continuous automated “package factory” that supports both day-to-day work orders and TAR mega-events.","• Safety critical – introduce “white-list only” content generation; packages require electronic supervisor sign-off (>90 % auto-approved first-pass in pilot).
• Liability mitigated by versioned content traceability and statistical QA comparing generated torque/clearance values to range in standards.",Document Generation & Translation,Agentic RAG,Planning/Decomposition,Sequential Chain,"Document Store, Structured Database","Text Only, Structured Data",Multi-System Integration,Human Monitoring,high,"Multiple Sources, Structured",Write/Action (1-3 systems),Dynamic Prompt Assembly,Sequential (4-7 steps),Deep Structured (4+ levels),User State (Long-term),Graceful Degradation,Human Evaluation Required (Complex),Specialist Knowledge,Batch/Async (hours-days),Highly Regulated (HIPAA/SOX/etc.),"Linear Flow Diagram, Entity-Relationship Diagram"
